City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
albany,42.6,-73.97,53.01,89,100,2.73,US,1602861190
bluff,-46.6,168.33,42.01,85,23,1.01,NZ,1602861006
rikitea,-23.12,-134.97,73.26,80,99,18.37,PF,1602861191
kapaa,22.08,-159.32,75.2,94,75,8.05,US,1602861191
petropavlovsk-kamchatskiy,53.05,158.65,32.0,81,40,2.24,RU,1602860976
te anau,-45.42,167.72,38.68,90,99,3.58,NZ,1602861006
tuktoyaktuk,69.45,-133.04,21.2,85,90,23.04,CA,1602861191
busselton,-33.65,115.33,55.99,51,0,12.66,AU,1602861191
salmon creek,45.71,-122.65,48.99,87,75,3.36,US,1602861192
paka,4.64,103.44,82.4,88,97,2.24,MY,1602861192
cape town,-33.93,18.42,78.8,27,0,12.75,ZA,1602860931
mataura,-46.19,168.86,42.01,85,41,1.01,NZ,1602861192
lebu,-37.62,-73.65,59.23,68,0,5.3,CL,1602861192
ushuaia,-54.8,-68.3,46.4,63,40,18.34,AR,1602861005
sitka,57.05,-135.33,48.2,70,75,9.17,US,1602861193
barrow,71.29,-156.79,15.8,78,1,19.46,US,1602861193
soyo,-6.13,12.37,84.2,70,40,8.05,AO,1602861193
atambua,-9.11,124.89,74.73,78,95,1.66,ID,1602861193
hermanus,-34.42,19.23,82.0,55,0,3.0,ZA,1602861193
champerico,14.3,-91.92,77.0,78,40,3.78,GT,1602861193
sao filipe,14.9,-24.5,82.45,73,99,6.55,CV,1602861193
kailua,21.4,-157.74,77.0,94,75,5.82,US,1602861194
nurma,59.55,31.02,41.0,65,75,6.71,RU,1602861194
luderitz,-26.65,15.16,69.6,55,0,13.73,NA,1602861194
pirovskoye,57.63,92.27,29.79,94,100,6.64,RU,1602861194
puerto ayora,-0.74,-90.35,71.01,87,87,5.99,EC,1602861194
kaitangata,-46.28,169.85,44.01,83,42,3.0,NZ,1602861194
nome,64.5,-165.41,37.4,93,90,24.16,US,1602860994
smithers,54.78,-127.17,33.8,84,75,6.93,CA,1602860999
pisco,-13.7,-76.22,66.2,77,20,5.82,PE,1602860960
general roca,-39.03,-67.58,75.2,47,0,3.36,AR,1602861195
tuatapere,-46.13,167.68,42.01,85,87,1.01,NZ,1602861005
adrar,20.5,-10.07,98.4,10,0,9.71,MR,1602861195
bosaso,11.28,49.18,84.2,83,0,9.17,SO,1602860919
ostrovnoy,68.05,39.51,36.36,79,100,20.89,RU,1602861195
kodiak,57.79,-152.41,30.2,80,1,8.05,US,1602861196
bredasdorp,-34.53,20.04,69.8,68,0,14.99,ZA,1602861196
hithadhoo,-0.6,73.08,83.86,74,81,20.69,MV,1602861196
isangel,-19.55,169.27,69.76,81,100,9.84,VU,1602861196
hualmay,-11.1,-77.61,69.28,66,28,10.74,PE,1602861196
georgetown,5.41,100.34,82.4,83,20,2.24,MY,1602861081
chihuahua,28.5,-106.0,55.4,43,5,6.93,MX,1602861196
port alfred,-33.59,26.89,67.66,78,94,29.35,ZA,1602861197
naldurg,17.82,76.3,75.51,84,5,5.82,IN,1602861197
cabo san lucas,22.89,-109.91,80.6,61,5,9.17,MX,1602860919
sangar,63.92,127.47,19.45,92,100,13.56,RU,1602861197
haines junction,60.75,-137.51,24.62,90,100,5.82,CA,1602860997
byron bay,-28.65,153.62,60.8,93,7,4.65,AU,1602861080
xuddur,4.12,43.89,80.19,64,44,7.94,SO,1602861197
mao,39.89,4.27,60.8,59,40,14.99,ES,1602861198
iquique,-20.22,-70.14,64.4,68,95,21.92,CL,1602861198
jieshou,33.26,115.36,56.62,56,0,6.6,CN,1602861198
khatanga,71.97,102.5,-2.69,92,0,2.68,RU,1602861198
jiayuguan,39.82,98.3,41.74,51,0,2.53,CN,1602861198
simao,22.79,100.97,61.75,94,99,2.21,CN,1602860988
izhma,65.01,53.91,29.89,97,100,3.15,RU,1602861198
klaksvik,62.23,-6.59,44.6,81,99,3.36,FO,1602861199
makakilo city,21.35,-158.09,77.0,94,75,4.7,US,1602861199
quelimane,-17.88,36.89,80.01,69,40,9.17,MZ,1602861199
pervomayskoye,43.92,46.71,63.48,70,0,10.25,RU,1602861199
houma,29.6,-90.72,66.2,88,90,14.99,US,1602861152
aginskoye,51.1,114.53,34.99,84,15,15.08,RU,1602860975
bubaque,11.28,-15.83,83.3,79,100,6.93,GW,1602860964
canton,23.12,113.25,77.0,60,1,11.18,CN,1602860947
saldanha,-33.01,17.94,77.0,33,0,9.17,ZA,1602860958
hobart,-42.88,147.33,45.0,75,100,8.05,AU,1602861193
new norfolk,-42.78,147.06,45.0,65,100,2.44,AU,1602861200
east london,-33.02,27.91,66.2,77,40,17.22,ZA,1602861200
narsaq,60.92,-46.05,55.4,30,75,12.75,GL,1602861200
cap malheureux,-19.98,57.61,75.99,70,2,5.99,MU,1602861200
dikson,73.51,80.55,27.97,97,99,10.16,RU,1602860971
jega,12.22,4.38,98.55,27,0,4.63,NG,1602861200
port elizabeth,-33.92,25.57,66.2,82,20,23.04,ZA,1602861201
bonthe,7.53,-12.51,84.22,71,60,9.37,SL,1602861201
zeya,53.75,127.27,31.93,95,100,2.75,RU,1602861201
kavieng,-2.57,150.8,81.81,77,97,11.86,PG,1602861201
